id,citation_count_without_self_citations,citation_count,number_of_pages,preprint_date,author_count,refereed,document_type,publication_type,number_of_references
415903,19,27,12.0,1996-02-01,7,True,article,research,16
421309,12,18,13.0,1996-07-01,2,True,article,research,48
422379,26,30,14.0,1996-08-01,2,True,article,research,43
422430,1,2,10.0,1996-08-01,2,True,article,research,22
424470,24,28,20.0,1996-10-01,3,True,article,research,48
419165,23,40,11.0,1996-05-01,1,True,article,research,19
420741,21,27,23.0,1996-07-01,6,True,article,research,32
416874,3,3,9.0,1996-03-01,1,True,conference paper,lectures,48
421507,64,74,15.0,1996-05-01,1,True,conference paper,research,30
421160,149,161,15.0,1996-07-01,3,True,article,research,27
419697,48,54,9.0,1996-06-01,4,True,article,research,28
423044,15,15,10.0,1996-09-01,4,True,article,research,30
419975,17,20,12.0,1996-06-01,3,True,article,research,23
419640,58,69,32.0,1996-06-01,2,True,article,research,43
415905,3,3,10.0,1996-02-01,2,True,article,research,22
416146,48,100,22.0,1996-02-01,3,True,article,research,39
415809,226,421,11.0,1996-02-01,3,True,article,research,12
419800,26,33,26.0,1996-06-01,4,True,article,research,20
419801,6,8,14.0,1996-06-01,3,True,article,research,21
419865,8,10,20.0,1996-06-01,3,True,article,research,22
415302,36,36,12.0,1996-01-01,3,True,article,research,42
415326,33,33,16.0,1996-01-01,2,True,article,research,41
418146,7,16,21.0,1996-04-01,2,True,article,research,48
420256,28,32,24.0,1996-06-01,3,True,article,research,24
415071,14,18,30.0,1996-01-01,4,True,article,research,36
415143,81,111,26.0,1996-01-01,2,True,article,research,22
418023,49,54,7.0,1996-04-01,4,True,article,research,22
415949,5,7,21.0,1996-02-01,1,True,article,research,32
424076,11,11,15.0,1996-10-01,3,True,article,research,20
419797,5,6,18.0,1996-06-01,2,True,article,research,26
416972,136,180,35.0,1996-03-01,6,True,article,research,46
419071,24,25,5.0,1996-05-01,6,True,article,research,19
424894,77,87,5.0,1996-10-01,2,True,article,research,32
417963,59,64,17.0,1996-04-01,4,True,article,research,22
423550,114,122,20.0,1996-08-01,1,True,article,research,29
415620,105,153,9.0,1996-01-01,3,True,article,research,25
423551,74,96,12.0,1996-09-01,3,True,article,research,8
430684,52,80,104.0,1996-01-01,3,True,article,review,81
417971,71,79,20.0,1996-04-01,3,True,article,research,48
416617,8,9,4.0,1996-03-01,2,True,article,research,12
417442,72,80,24.0,1996-04-01,4,True,article,research,59
415473,1,1,5.0,1996-01-01,2,True,article,research,20
417788,13,26,30.0,1996-03-01,21,True,article,research,36
418913,6,8,21.0,1996-05-01,2,True,article,research,21
419273,4,11,11.0,1996-06-01,3,True,article,research,24
418381,2,3,36.0,1996-05-01,4,True,article,research,21
418437,15,24,10.0,1996-05-01,3,True,article,research,27
444783,3,3,5.0,1997-05-01,1,True,conference paper,research,15
440933,94,102,14.0,1997-03-01,2,True,article,research,24
439482,3,4,22.0,1997-01-01,3,True,conference paper,research,34
446338,3,3,7.0,1997-05-01,1,False,conference paper,research,20
447809,1,1,6.0,1997-05-01,3,False,conference paper,research,6
444434,0,0,4.0,1997-06-01,1,False,conference paper,research,8
444436,2,2,5.0,1997-06-01,2,False,conference paper,research,6
445984,2,3,3.0,1997-05-01,32,False,conference paper,research,13
445221,8,9,5.0,1997-06-01,2,False,conference paper,research,7
440533,11,18,21.0,1997-02-01,4,True,article,research,52
444676,0,0,3.0,1997-06-01,2,False,conference paper,research,6
444492,10,14,22.0,1997-06-01,3,True,article,research,49
442395,12,14,8.0,1997-04-01,4,True,article,research,16
439415,123,123,14.0,1997-01-01,1,True,article,research,20
446706,5,5,10.0,1997-06-01,1,True,conference paper,research,22
450305,6,9,11.0,1997-10-01,3,True,article,research,19
443336,27,29,7.0,1997-05-01,2,True,article,research,17
442275,10,11,8.0,1997-04-01,2,True,article,research,15
439380,8,38,10.0,1997-01-01,3,True,article,research,16
439394,98,128,12.0,1997-01-01,2,True,article,research,13
442765,27,27,14.0,1997-05-01,4,True,article,research,21
444731,14,23,12.0,1997-06-01,2,True,article,research,13
444782,4,7,9.0,1997-06-01,2,True,conference paper,research,26
448139,1,1,21.0,1997-09-01,4,True,article,research,41
440482,4,18,9.0,1997-02-01,2,True,article,research,12
441069,28,33,15.0,1997-03-01,7,True,article,research,39
441127,1,7,30.0,1997-03-01,2,True,article,research,28
439890,19,28,21.0,1997-01-01,6,True,article,research,17
440687,4,6,30.0,1997-02-01,2,True,article,research,46
440189,6,17,12.0,1997-02-01,2,True,article,research,45
440216,21,21,8.0,1997-01-01,1,True,article,research,21
440281,10,13,12.0,1997-02-01,2,True,article,research,26
441377,17,24,4.0,1997-03-01,6,True,article,research,13
439641,26,35,11.0,1997-01-01,4,True,article,research,52
442933,18,19,9.0,1997-05-01,1,True,article,research,8
442069,10,28,11.0,1997-04-01,3,True,article,research,29
442072,8,10,13.0,1997-03-01,3,True,article,research,16
443007,2,5,7.0,1997-05-01,1,True,article,research,19
443125,9,17,22.0,1997-05-01,3,True,article,research,43
443126,63,85,11.0,1997-05-01,4,True,article,research,25
447349,15,28,19.0,1997-08-01,4,True,article,research,33
439967,12,17,19.0,1997-01-01,3,True,article,research,26
444002,11,11,22.0,1997-06-01,3,True,article,research,30
439481,11,14,11.0,1997-01-01,3,True,article,research,14
444941,31,41,11.0,1997-06-01,7,True,article,research,19
444942,5,14,17.0,1997-06-01,4,True,article,research,85
444944,24,34,10.0,1997-06-01,3,True,article,research,50
445590,9,11,8.0,1997-07-01,2,True,article,research,35
447171,46,59,10.0,1997-08-01,3,True,article,research,16
446532,13,17,12.0,1997-07-01,3,True,article,research,25
445220,12,32,9.0,1997-07-01,3,True,article,research,23
450594,173,216,22.0,1997-11-01,4,True,article,research,23
447508,97,107,26.0,1997-08-01,2,True,article,research,25
442764,300,310,44.0,1997-05-01,2,True,article,research,54
441526,69,90,10.0,1997-03-01,2,True,article,research,40
450515,34,57,29.0,1997-10-01,3,True,article,research,41
440967,39,84,14.0,1997-03-01,3,True,article,research,31
441975,201,213,38.0,1997-04-01,2,True,article,research,43
447350,101,101,14.0,1997-08-01,3,True,article,research,15
440995,21,24,20.0,1997-03-01,4,True,article,research,45
440934,23,23,15.0,1997-03-01,2,True,article,research,18
448297,1,6,4.0,1997-07-01,3,False,conference paper,research,8
448298,8,11,5.0,1997-07-01,3,False,conference paper,research,20
447686,0,0,7.0,1997-07-01,1,False,conference paper,research,6
447810,0,0,5.0,1997-08-01,3,False,conference paper,research,7
447460,12,14,17.0,1997-08-01,2,True,article,research,41
443074,28,31,15.0,1997-05-01,3,True,article,research,28
446531,29,41,21.0,1997-07-01,5,True,article,research,45
442364,1,2,10.0,1997-04-01,2,True,article,research,17
442693,33,47,35.0,1997-05-01,6,True,article,research,38
441621,8,8,12.0,1997-03-01,2,True,article,research,20
441648,43,47,37.0,1997-03-01,3,True,article,research,34
440800,9,23,39.0,1997-02-01,5,True,article,research,53
440802,20,23,27.0,1997-02-01,2,True,article,research,28
441974,30,36,51.0,1997-04-01,3,True,article,review,96
439455,1,5,26.0,1997-01-01,1,True,article,research,42
439571,85,100,19.0,1997-01-01,2,True,article,research,33
439573,37,38,11.0,1997-01-01,3,True,article,research,28
444845,15,30,23.0,1997-06-01,2,True,article,research,22
441208,42,74,36.0,1997-03-01,6,True,article,research,65
441300,43,46,4.0,1997-03-01,3,True,article,research,18
441350,48,71,57.0,1997-03-01,3,True,article,research,59
450460,27,48,21.0,1997-10-01,3,True,article,research,27
449866,0,0,5.0,1997-07-01,1,False,conference paper,research,17
446815,4,5,5.0,1997-07-01,3,True,conference paper,research,7
446928,4,6,10.0,1997-08-01,2,True,article,research,10
448138,0,1,5.0,1997-09-01,3,False,conference paper,research,8
448218,6,10,13.0,1997-09-01,2,True,article,research,17
444337,43,47,9.0,1997-06-01,2,True,article,research,20
444396,38,45,45.0,1997-06-01,2,True,article,research,26
444400,21,21,13.0,1997-06-01,1,True,article,research,21
444401,56,89,7.0,1997-06-01,4,True,article,research,11
446242,14,24,37.0,1997-07-01,2,True,article,research,28
443857,42,53,10.0,1997-06-01,3,True,article,research,18
439416,104,124,35.0,1997-01-01,4,True,article,research,43
440188,50,79,12.0,1997-02-01,3,True,article,research,42
443731,10,16,11.0,1997-05-01,6,False,conference paper,research,31
446981,1,5,17.0,1997-08-01,1,True,article,research,25
446982,0,0,3.0,1997-07-01,4,True,conference paper,research,11
439965,28,38,8.0,1997-01-01,6,True,article,research,26
469513,136,204,5.0,1998-04-01,4,True,article,research,24
473568,6,6,7.0,1998-06-01,2,False,conference paper,research,13
466390,48,57,26.0,1998-01-01,3,True,article,research,15
467504,222,255,25.0,1998-02-01,3,True,article,research,30
468952,24,71,19.0,1998-04-01,12,True,article,research,56
467507,37,57,13.0,1998-02-01,3,True,article,research,28
469564,68,119,14.0,1998-04-01,13,True,article,research,37
469412,170,214,4.0,1998-04-01,3,True,article,research,26
485432,0,0,32.0,1998-01-01,2,True,article,research,20
485434,2,4,11.0,1998-01-01,2,True,article,research,12
472220,5,5,9.0,1998-06-01,1,True,conference paper,review,26
472221,4,6,15.0,1998-06-01,1,True,article,research,30
472375,52,63,5.0,1998-06-01,1,True,article,research,8
477334,0,0,5.0,1998-10-01,2,True,conference paper,research,12
477411,6,7,19.0,1998-10-01,3,True,article,research,35
469054,34,36,10.0,1998-04-01,2,True,article,research,50
473439,21,22,28.0,1998-07-01,3,True,article,research,25
471169,3,5,10.0,1998-05-01,2,True,article,research,7
468720,2,3,9.0,1998-03-01,4,True,article,research,20
475752,2,12,18.0,1998-09-01,3,True,article,research,18
474120,10,13,19.0,1998-07-01,7,True,article,research,30
474124,34,44,11.0,1998-07-01,2,True,article,research,19
476641,17,22,4.0,1998-09-01,3,True,article,research,12
467978,50,51,8.0,1998-03-01,3,True,article,research,27
472587,4,10,19.0,1998-06-01,2,True,article,research,18
472817,43,60,10.0,1998-07-01,2,True,article,research,50
472818,2,4,22.0,1998-07-01,4,True,article,research,12
472031,4,5,26.0,1998-06-01,4,True,article,research,56
472032,0,0,10.0,1998-06-01,1,True,conference paper,research,17
470819,15,19,13.0,1998-05-01,3,True,article,research,12
466631,24,42,11.0,1998-01-01,6,True,article,research,27
467078,21,36,5.0,1998-02-01,2,True,article,research,31
466782,0,1,13.0,1998-02-01,3,True,article,research,42
467470,5,13,16.0,1998-02-01,2,True,article,research,36
470993,35,40,16.0,1998-05-01,4,True,article,research,24
469917,20,21,9.0,1998-04-01,1,True,article,research,23
469919,35,47,6.0,1998-04-01,2,True,article,research,13
467661,5,6,16.0,1998-02-01,2,True,article,research,35
492583,105,133,21.0,1998-01-01,4,True,article,research,26
492707,2,2,10.0,1998-01-01,2,True,article,research,25
466195,10,42,9.0,1998-01-01,3,True,article,research,25
474768,39,48,10.0,1998-08-01,4,True,article,research,30
479140,16,41,12.0,1998-11-01,3,True,article,research,36
476829,4,4,18.0,1998-09-01,3,True,article,research,7
476879,7,7,12.0,1998-09-01,3,True,article,research,29
469414,11,28,21.0,1998-04-01,2,True,article,research,40
469473,1,1,10.0,1998-04-01,1,True,article,research,11
469864,65,66,14.0,1998-04-01,2,True,article,research,28
466522,14,19,10.0,1998-01-01,2,True,article,research,27
466597,12,15,1.0,1998-01-01,2,True,article,research,10
473673,18,21,7.0,1998-07-01,2,True,article,research,19
465975,29,30,28.0,1998-10-01,2,True,article,research,33
466014,2,5,8.0,1998-01-01,3,True,article,research,13
466273,20,31,14.0,1998-01-01,3,True,article,research,17
466389,2,4,11.0,1998-01-01,2,True,article,research,23
466427,28,45,39.0,1998-01-01,3,True,article,research,60
467211,17,23,10.0,1998-02-01,3,True,article,research,16
467335,54,63,11.0,1998-02-01,3,True,article,research,44
466827,8,8,9.0,1998-02-01,3,True,article,research,17
466874,21,21,65.0,1998-02-01,2,True,article,research,39
472703,42,52,25.0,1998-07-01,2,True,article,research,88
469208,2317,2329,39.0,1998-04-01,3,True,article,research,57
474062,12,21,4.0,1998-07-01,5,True,article,research,25
475954,16,20,9.0,1998-09-01,3,True,article,research,28
470718,31,49,31.0,1998-05-01,4,True,article,research,57
470109,116,152,17.0,1998-08-01,12,True,article,research,50
467046,19,22,8.0,1998-02-01,3,True,article,research,23
466196,21,25,10.0,1998-01-01,2,True,article,research,23
469569,1,4,11.0,1998-04-01,4,True,article,research,36
484033,13,14,8.0,1998-06-01,1,True,conference paper,lectures,5
471041,15,27,23.0,1998-05-01,4,True,article,research,31
469867,3,24,28.0,1998-04-01,4,True,article,research,66
